Country,Word Count,Sentiment Score,Named Entities
gh,114,0.3654047619047619,"Arise, May, one, Freedom and of Right, Ghana, Africa, Unity, Bold, God, ev’ry, Ghanaland"
it,128,0.18125,"United, Rome, centuries, Downtrodden, one, Alps, The hour, Sicily, Scipio, Austrian, Balilla, Polish, God, Italy, Italian Brothers, Ferruccio The children of"
at,69,0.3205353535353535,"the River, the earliest days, Working, Highly, Austria"
ht,165,0.3813368055555555,"United, march, united let us march, us"
cr,71,0.3092532467532467,"Gained, May"
pk,47,0.14200000000000002,"Pakistan, Land Happy be the, Symbol, Shine, Interpreter, Symbol of Almighty, This Flag of the Crescent and Star Leads"
nr,28,0.48333333333333334,Nauru
bb,69,0.3963333333333333,
dm,84,0.3754629629629629,"Isle, Dominica, Pastures, All for Each and Each for All"
kr,64,0.40904761904761905,"that day, Roses, Three thousand, the Eastern Sea, Autumn, Sharon, Great Korean, Mt. Namsan, the Great Korean way!, Mt. Baekdu"
de,28,0.3339285714285714,"the German Fatherland, Brotherly, Bloom, German Fatherland"
ru,55,0.4506510416666667,"Native, one, Russia, the coming years, Ancient, Motherland"
rw,99,0.3576984126984127,"Rwanda, Us, Fill, Motherland, Africa, Abanyarwanda"
lv,40,0.875,"Latvia, Latvian"
il,30,0.1875,"Zion, Jerusalem, Jew, two thousand years"
va,79,0.4461538461538461,"Rome, Peter"
ms,65,0.43200000000000005,"the Carib Sea, Motherland, Montserrat"
iq,99,-0.02222222222222224,"Moves us, Safe, Sublimity"
mt,34,0.45999999999999996,Maltese
in,50,0.0,"Maratha, Orissa, the Indian Sea, India, Bengal, Punjab, Vindhyas, Himalayas, Gujarat, Dispenser, Jamuna, Dravida, Thou"
li,56,0.25675324675324684,"United, Rhine Lies Liechtenstein"
ga,102,0.44483901515151514,"United, Gabon, Fatherland, Ocean, concord, Awake, Gabon"
lt,46,0.2785714285714286,"Lithuania, May, Lithuania Brightly, Light, Guide, Bannish"
sd,33,0.11212121212121212,Sudan
eh,90,0.3619047619047619,"Arab, Every century, Sahara"
sg,43,0.3745454545454545,"May, one, Onward Singapore Onward Singapore, Singaporeans, Onward Singapore Onward Singapore Come, Singapore"
st,106,0.0856060606060606,"earth, Building, Sacred hymn, the Immortal Fatherland, African, São Tomé and Príncipe, the hour, Strong"
af,54,0.6000000000000001,"Afghanistan, Uzbeks Pashtoons, Afghan, Qizilbash, Allah, Land of Baloochs, Arabs, Tajiks With, Gojars Pamirian, Nooristanian Barahawi, Asia, Aimaq, Hazaras Turkman"
ai,64,0.4062770562770563,"May, Anguilla Nurture, Mighty, Proud"
ke,51,0.07083333333333332,"one, Kenya Heritage, Firm, Peace, Kenya, Justice, Bless"
dz,122,0.2024188311688311,"France, Fatherland, the day, Standard, O France, Algeria, Liberation Front"
lb,73,1.0,"Country, Pride, Lions of the Jungle, Cedar, East, the Day of Crisis, Lebanon, Flag and Glory"
se,58,0.2691919191919192,"thou joyful beauty, North Thou, Thou"
id,63,0.33388429752066123,"the Great Indonesia Great, Great Indonesia, Indonesia, Build"
qa,40,0.25,"Prophet, Procede, Qatar, Sublimed"
bj,95,0.16999999999999998,"Knew, Citizen of Benin, one, Children of Benin, Benin, Each day, first, spring, Enjoy"
om,46,0.09103535353535352,"Arabs, Majesty, Rejoice, Oman, Sultan"
mu,29,0.4666666666666666,"Motherland, Sweet, one, God"
kz,47,0.33570601851851856,"Kazakh, Kazakhstan, Steppe"
sr,44,0.42000000000000004,"Rise, Suriname, Working"
py,211,0.2830131673881674,"Romulus, Europe, Republic, august, Paraguayans, Tyrants, Long years, Arise, Rome, Today, Saw, Magnificent Eden, Sweet Fatherland, two, Phoebus, Peoples, three centuries, one day, Two, America, Compatriots, Fatherland, Displayed, Sun, South"
az,54,0.5803571428571429,"Azerbaijan, A thousand and one, Three, Thousands"
uz,60,0.6185606060606061,"May, one, Uzbekistan, Uzbek"
th,41,0.1,"Thailand, Thai, Thais"
za,52,0.0987878787878788,"South Africa, God Bless Africa Raise"
ci,50,0.4795454545454545,"the Ivory Coast, Fatherland, Proud, Ivory Coast"
bl,104,0.14375,"France, Swedish, Flemish, Antilles, years, Saint Barthélemy Isle, Arawaks, Spanish, Caraibes, Bretons, French, English"
gl,59,0.2571428571428571,"Removing, Greenland"
bh,36,0.08212121212121212,"Cradle, Bahrain, Arabism"
cw,71,0.13333333333333333,Curaçao
ws,29,0.35,
ee,40,0.5318181818181817,
kg,49,0.22083333333333333,"Kyrgyz, Kyrgyzstan, the Ala-Toe"
pt,80,0.4525378787878788,"Europe, Valiant, Homeland, Salute the Sun, Portugal, Now, the hour, Ocean"
ad,34,0.525,"Carolingian, between two, Saracens, Maiden, eleven centuries"
sk,46,0.13333333333333333,"Slovakia, Slovaks, Tatras"
nz,149,0.30930735930735936,"State, Freedoms, Gather, Thy, New Zealand, May Thy, Crown"
pr,35,0.4791666666666667,"Columbus, Borinquen"
ax,132,0.31286549707602335,"our thousand year, Beacons, Swedish, Warfare, Alandian, evening, Ancient, the bright days, Åland, Spoken, Happily, thousand"
sy,30,0.5375000000000001,"Syria, Towers, Arabism"
mz,74,0.44696969696969696,"Joined, O Loved, one, tomorrow, Glorious Land Rock, Flowers, Millions, Rovuma to Maputo, Africa, Mozambique, Freedom The Sun of June"
vn,101,0.03370351239669421,"Fatherland, Vietnam"
vg,78,0.4130681818181818,"Virgin Islands, May, Territory, three, Courage, Green, Oh Virgin Islands, second"
me,73,0.4375,"May Montenegro, two, Montenegro, Lovcen"
ls,27,0.5833333333333334,"May, Lesotho"
gb,58,0.2694805194805195,"Frustrate, Scatter, Long"
tj,48,0.40406336088154277,"Homeland, this day, Tajikistan"
sh,68,0.16944444444444445,"St. Helena, seven, St. Helena Island"
ca,36,0.32916666666666666,"O Canada, Canada"
nu,20,0.26666666666666666,"Niue Over Niue, Niue"
ye,86,0.4,"Raise, Yemen, Arab"
so,42,0.35625,"the day, this night, White Star, O Allah"
bd,63,0.428608630952381,"mango, spring, autumn"
zm,76,0.5187675070028012,"one, One, Zambia, Africa, Brothers"
mw,79,0.49212962962962964,"Mother Malawi, Malawi, one, One, Hunger, Fertile, Keep"
